municipio_ibge;agencias;cod_ibge;postos
2925808;1;292580;1
2925907;1;292590;NA
2926004;3;292600;NA
2926202;2;292620;NA
2926301;3;292630;NA
2926400;3;292640;NA
2926608;3;292660;2
2926707;1;292670;NA
2926806;1;292680;NA
2926905;1;292690;NA
2927002;3;292700;1
2927200;3;292720;1
2927408;195;292740;23
2927606;1;292760;NA
2927705;2;292770;NA
2928000;3;292800;2
2928109;4;292810;NA
2928208;3;292820;NA
2928406;2;292840;1
2928604;4;292860;NA
2928703;7;292870;3
2928802;3;292880;NA
2928901;2;292890;1
2929008;1;292900;NA
2929206;2;292920;NA
2929305;2;292930;NA
2929503;3;292950;NA
2929602;1;292960;NA
2929800;2;292980;NA
2929909;4;292990;1
2930105;5;293010;2
2930154;2;293015;NA
2930204;1;293020;NA
2930303;1;293030;NA
2930402;1;293040;NA
2930501;5;293050;2
2930709;6;293070;1
2930774;1;293077;NA
2931004;1;293100;NA
2931202;1;293120;NA
2931301;1;293130;NA
2931350;8;293135;6
2931608;1;293160;NA
2931905;4;293190;2
2932002;2;293200;NA
2932200;2;293220;NA
2932309;2;293230;NA
2932507;1;293250;NA
2932606;1;293260;NA
2932705;1;293270;NA
2932804;1;293280;1
2932903;5;293290;1
2933000;1;293300;NA
2933208;2;293320;NA
2933307;15;293330;12
2933406;1;293340;NA
2933455;1;293345;NA
2933604;4;293360;NA
3100203;3;310020;2
3100302;1;310030;1
3100609;1;310060;1
3100906;4;310090;1
3101003;1;310100;NA
3101102;4;310110;2
3101201;1;310120;1
3101508;4;310150;1
3101607;6;310160;6
3101706;5;310170;1
3101904;2;310190;1
3102001;1;310200;4
3102100;1;310210;1
3102308;2;310230;1
3102605;4;310260;5
3102704;1;310270;NA
3102803;1;310280;1
3103009;1;310300;1
3103405;4;310340;1
3103504;5;310350;10
3103751;1;310375;1
3103900;1;310390;1
3104007;6;310400;9
3104106;1;310410;2
3104205;4;310420;4
3104304;1;310430;2
3104502;2;310450;2
3104601;1;310460;2
3104700;1;310470;1
3104908;1;310490;2
3105103;3;310510;2
3105400;4;310540;2
3105608;8;310560;6
3105905;2;310590;1
3106002;1;310600;1
3106200;273;310620;122
3106309;3;310630;4
3106507;1;310650;NA
3106705;15;310670;16
3106903;3;310690;2
3107109;4;310710;2
3107307;5;310730;5
3107406;5;310740;6
3107604;1;310760;1
3107802;1;310780;1
3108008;2;310800;NA
3108107;2;310810;1
3108206;1;310820;1
3108305;2;310830;2
3108404;2;310840;2
3108552;2;310855;2
3108602;3;310860;1
3108909;1;310890;1
3109006;4;310900;3
3109105;1;310910;1
3109204;1;310920;2
3109303;3;310930;2
3109402;2;310940;1
3109501;1;310950;2
3109600;1;310960;1
3109709;1;310970;1
3110004;4;311000;2
3110301;2;311030;2
3110509;5;311050;2
3110608;4;311060;2
3110707;1;311070;1
3110806;1;311080;NA
3110905;3;311090;2
3111002;3;311100;2
3111101;3;311110;1
3111200;5;311120;4
3111408;1;311140;1
3111507;2;311150;1
3111606;2;311160;3
3111804;1;311180;2
3112000;1;311200;2
3112307;4;311230;2
3112604;2;311260;1
3113206;4;311320;3
3113305;3;311330;4
3113404;5;311340;3
3113503;1;311350;1
3113701;3;311370;NA
3113909;1;311390;1
3114006;1;311400;1
3114204;1;311420;3
3114303;4;311430;4
3114402;3;311440;1
3114501;2;311450;2
3114550;1;311455;1
3115102;2;311510;3
3115300;5;311530;3
3115508;4;311550;2
3115805;1;311580;1
3116100;1;311610;1
3116605;2;311660;2
3116704;1;311670;1
3116803;1;311680;1
3117108;1;311710;2
3117306;4;311730;2
3117504;2;311750;3
3117603;1;311760;1
3117702;2;311770;1
3117801;1;311780;1
3117900;1;311790;1
3118007;5;311800;2
3118205;2;311820;1
3118304;6;311830;7
3118403;2;311840;3
3118601;34;311860;20
3118700;1;311870;1
3118809;1;311880;1
3119104;3;311910;2
3119203;1;311920;1
3119302;4;311930;5
3119401;7;311940;7
3120201;1;312020;1
3120508;1;312050;1
3120706;1;312070;1
3120805;3;312080;1
3120904;5;312090;6
3121001;1;312100;NA
3121100;1;312110;1
3121407;1;312140;1
3121605;6;312160;2
3122009;3;312200;3
3122306;14;312230;18
3122454;1;312245;NA
3122504;1;312250;1
3122702;1;312270;1
3122900;1;312290;1
3123205;2;312320;1
3123601;4;312360;2
3123858;1;312385;NA
3123908;2;312390;2
3124005;1;312400;3
3124104;2;312410;1
3124203;2;312420;3
3124302;3;312430;1
3124500;1;312450;1
3124807;1;312480;1
3124906;1;312490;2
3125101;5;312510;4
3126109;5;312610;6
3126703;3;312670;1
3127008;1;312700;1
3127107;5;312710;6
3127602;1;312760;1
3127701;16;312770;14
3127800;1;312780;1
3128006;4;312800;2
3128204;1;312820;1
3128303;2;312830;3
3128402;1;312840;NA
3128600;1;312860;2
3128709;5;312870;5
3128907;1;312890;3
3129103;1;312910;1
3129202;1;312920;1
3129301;1;312930;1
3129509;4;312950;3
3129707;1;312970;2
3129806;4;312980;5
3130101;3;313010;2
3130705;1;313070;1
3130903;3;313090;2
3131208;2;313120;1
3131307;19;313130;21
3131505;1;313150;1
3131604;1;313160;1
3131703;6;313170;6
3131802;1;313180;1
3131901;5;313190;2
3132107;1;313210;NA
3132206;2;313220;1
3132305;1;313230;1
3132404;8;313240;7
3132503;2;313250;2
3132701;1;313270;2
3132909;1;313290;2
3133006;3;313300;1
3133105;2;313310;3
3133204;1;313320;1
3133303;1;313330;1
3133402;1;313340;1
3133501;3;313350;1
3133709;1;313370;1
3133758;3;313375;2
3133808;5;313380;3
3134202;6;313420;5
3134400;5;313440;3
3134608;1;313460;2
3134707;1;313470;NA
3134806;1;313480;1
3134905;3;313490;3
3135050;4;313505;2
3135100;6;313510;5
3135209;6;313520;2
3135506;1;313550;2
3135605;1;313560;NA
3135803;3;313580;1
3136009;2;313600;1
3136207;6;313620;4
3136306;3;313630;6
3136603;1;313660;1
3136652;3;313665;2
3136702;43;313670;25
3137007;1;313700;NA
3137106;1;313710;2
3137205;5;313720;3
3137403;1;313740;2
3137502;1;313750;2
3137601;5;313760;3
3137700;1;313770;NA
3137809;3;313780;1
3138203;6;313820;6
3138401;5;313840;4
3138500;1;313850;NA
3138609;2;313860;1
3138625;1;313862;1
3138807;3;313880;2
3138906;1;313890;1
3139003;5;313900;3
3139201;2;313920;1
3139300;1;313930;NA
3139409;6;313940;6
3139508;2;313950;2
3139607;3;313960;1
3139706;1;313970;1
3139805;1;313980;2
3139904;1;313990;1
3140001;5;314000;4
3140506;2;314050;3
3140555;1;314055;NA
3140704;3;314070;1
3140803;2;314080;2
3140902;2;314090;1
3141009;2;314100;1
3141108;4;314110;3
3141405;3;314140;NA
3141504;1;314150;1
3141603;1;314160;1
3141801;1;314180;1
3142106;1;314210;2
3142205;1;314220;2
